store	week	count	sales_1	sales_2	sales_3	sales_4	sales_5	sales_6	sales_7	sales_8	sales_9	sales_10	sales_11	price_1	price_2	price_3	price_4	price_5	price_6	price_7	price_8	price_9	price_10	price_11	cost_1	cost_2	cost_3	cost_4	cost_5	cost_6	cost_7	cost_8	cost_9	cost_10	cost_11	prom_1	prom_2	prom_3	prom_4	prom_5	prom_6	prom_7	prom_8	prom_9	prom_10	prom_11
2	1	14181	16	16	8	11	11	2	4	3	8	9	1	3.29	4.82	8.15	3.01	4.97	7.99	2.98	3.49	3.97	1.87	4.49	2.06	3.43	5.72	2.03	3.46	5.84	1.87	2.08	3.72	.95	1.92	0	0	0	0	0	0	0	0	0	0	0
5	1	18299	18	24	12	23	12	1	4	1	8	14	1	3.33	4.65	6.68	2.67	4.97	7.99	2.19	3.57	3.97	1.79	4.49	2.1	3.5	5.49	2.02	3.46	5.84	1.58	2.34	3.72	.9	1.92	0	0	0	0	0	0	0	0	0	0	0
8	1	24634	24	33	15	10	9	2	4	1	3	33	1	3.29	4.71	6.67	2.67	4.97	7.99	2.91	3.57	3.97	1.84	4.49	2.06	3.44	5.44	2.02	3.46	5.84	1.87	2.34	3.71	.93	1.92	0	0	0	0	0	0	0	0	0	0	0
9	1	18495	7	21	7	15	5	1	6	1	1	13	1	3.34	4.74	6.64	2.67	4.97	7.99	2.43	3.49	3.97	1.86	4.49	2.13	3.45	5.55	2.02	3.46	5.84	1.68	2.08	3.72	.94	1.92	0	0	0	0	0	0	0	0	0	0	0
12	1	27267	22	18	19	15	11	8	7	2	2	24	1	3.33	4.88	6.54	3.01	4.97	7.99	2.33	3.49	3.97	1.79	4.49	2.11	3.46	5.32	2.02	3.46	5.84	1.59	2.08	3.72	.9	1.92	0	0	0	0	0	0	0	0	0	0	0
14	1	14530	8	12	13	10	10	2	1	1	12	11	1	3.29	4.92	7	3.01	4.97	7.99	2.33	3.49	3.97	1.82	4.49	2.05	3.37	5.52	2.02	3.46	5.84	1.59	2.08	3.71	.91	1.92	0	0	0	0	0	0	0	0	0	0	0
18	1	23747	24	42	15	20	9	3	9	1	4	19	1	3.27	4.64	6.63	2.67	4.97	7.99	2.51	3.49	3.97	1.81	4.49	2.04	3.52	5.39	2.02	3.46	5.84	1.71	2.08	3.71	.91	1.92	0	0	0	0	0	0	0	0	0	0	0
21	1	18632	1	1	1	1	1	1	1	1	1	1	1	3.45	5	7.13	2.99	5.19	8.22	2.65	3.57	4.01	1.91	4.49	2.2	3.65	5.75	2.03	3.62	6.07	1.83	2.34	3.71	.91	1.92	0	0	0	0	0	0	0	0	0	0	0
28	1	13546	13	14	12	14	10	6	4	3	5	7	1	3.32	4.64	6.84	2.67	4.97	7.99	2.91	3.49	3.97	1.83	4.49	2.1	3.46	5.57	2.02	3.46	5.84	1.87	2.08	3.71	.92	1.92	0	0	0	0	0	0	0	0	0	0	0
32	1	27500	14	24	10	18	9	2	5	4	5	15	1	3.29	4.82	7.21	3.01	4.97	7.99	2.33	3.49	3.97	1.78	4.49	2.06	3.52	5.48	2.02	3.46	5.84	1.59	2.08	3.72	.89	1.92	0	0	0	0	0	0	0	0	0	0	0
33	1	21896	8	13	7	17	7	2	5	2	8	7	1	3.32	4.83	7.08	3.01	4.97	7.99	2.33	3.49	3.97	1.8	4.49	2.09	3.48	5.41	2.02	3.46	5.84	1.59	2.08	3.71	.9	1.92	0	0	0	0	0	0	0	0	0	0	0
40	1	18813	13	23	11	14	9	2	5	1	2	14	1	3.36	4.71	7.11	2.67	4.97	7.99	2.19	3.57	3.97	1.74	4.49	2.14	3.44	5.7	2.02	3.46	5.84	1.58	2.34	3.72	.9	1.92	0	0	0	0	0	0	0	0	0	0	0
44	1	16030	8	14	12	10	5	5	5	4	5	12	1	3.32	4.81	7.2	2.67	4.97	7.99	2.48	3.49	3.97	1.82	4.49	2.09	3.36	5.66	2.02	3.46	5.84	1.7	2.08	3.72	.92	1.92	0	0	0	0	0	0	0	0	0	0	0
45	1	13411	10	15	3	17	2	6	1	2	8	25	1	3.24	4.74	5.87	2.67	4.97	7.99	2.65	3.49	3.97	1.81	4.49	2.01	3.4	5.21	2.02	3.46	5.84	1.83	2.08	3.72	.91	1.92	0	0	0	0	0	0	0	0	0	0	0
47	1	12734	10	16	7	9	4	1	4	2	3	8	1	3.24	4.65	6.85	2.67	4.97	7.99	2.19	3.49	3.97	1.79	4.49	2	3.45	5.59	2.02	3.46	5.84	1.58	2.08	3.72	.9	1.92	0	0	0	0	0	0	0	0	0	0	0
48	1	12389	10	18	6	7	5	1	3	3	2	6	1	3.28	4.65	7.25	2.67	4.97	7.99	2.67	3.49	3.97	1.82	4.49	2.05	3.45	5.71	2.02	3.46	5.84	1.78	2.08	3.71	.92	1.92	0	0	0	0	0	0	0	0	0	0	0
