"week","store","price_1","price_2","price_3","price_4","price_5","price_6","price_7","price_8","price_9","price_10","price_11","prom_1","prom_2","prom_3","prom_4","prom_5","prom_6","prom_7","prom_8","prom_9","prom_10","prom_11","income_1","income_2","income_3","income_4","income_5","income_6","income_7","income_8","income_9","income_10","income_11","mkt_share_1","mkt_share_2","mkt_share_3","mkt_share_4","mkt_share_5","mkt_share_6","mkt_share_7","mkt_share_8","mkt_share_9","mkt_share_10","mkt_share_11","branded_1","branded_2","branded_3","branded_4","branded_5","branded_6","branded_7","branded_8","branded_9","branded_10","branded_11"
1,2,3.29,4.82,8.15,3.01,4.97,7.99,2.98,3.49,3.97,1.87,4.49,0,0,0,0,0,0,0,0,0,0,0,10.55320518,10.55320518,10.55320518,10.55320518,10.55320518,10.55320518,10.55320518,10.55320518,10.55320518,10.55320518,10.55320518,0.0564135110358931,0.0564135110358931,0.0282067555179465,0.0387842888371765,0.0387842888371765,0.00705168887948664,0.0141033777589733,0.01057753331923,0.0282067555179465,0.0317325999576899,0.00352584443974332,1,1,1,1,1,1,1,1,1,0,0
1,5,3.33,4.65,6.68,2.67,4.97,7.99,2.19,3.57,3.97,1.79,4.49,0,0,0,0,0,0,0,0,0,0,0,10.92237097,10.92237097,10.92237097,10.92237097,10.92237097,10.92237097,10.92237097,10.92237097,10.92237097,10.92237097,10.92237097,0.049183015465326,0.065577353953768,0.032788676976884,0.0628449642056943,0.032788676976884,0.00273238974807367,0.0109295589922947,0.00273238974807367,0.0218591179845893,0.0382534564730313,0.00273238974807367,1,1,1,1,1,1,1,1,1,0,0
1,8,3.29,4.71,6.67,2.67,4.97,7.99,2.91,3.57,3.97,1.84,4.49,0,0,0,0,0,0,0,0,0,0,0,10.59700966,10.59700966,10.59700966,10.59700966,10.59700966,10.59700966,10.59700966,10.59700966,10.59700966,10.59700966,10.59700966,0.0487131606722416,0.0669805959243322,0.030445725420151,0.0202971502801007,0.0182674352520906,0.00405943005602013,0.00811886011204027,0.00202971502801007,0.0060891450840302,0.0669805959243322,0.00202971502801007,1,1,1,1,1,1,1,1,1,0,0
1,9,3.34,4.74,6.64,2.67,4.97,7.99,2.43,3.49,3.97,1.86,4.49,0,0,0,0,0,0,0,0,0,0,0,10.78715178,10.78715178,10.78715178,10.78715178,10.78715178,10.78715178,10.78715178,10.78715178,10.78715178,10.78715178,10.78715178,0.0189240335225737,0.056772100567721,0.0189240335225737,0.040551500405515,0.0135171668018383,0.00270343336036767,0.016220600162206,0.00270343336036767,0.00270343336036767,0.0351446336847797,0.00270343336036767,1,1,1,1,1,1,1,1,1,0,0
1,12,3.33,4.88,6.54,3.01,4.97,7.99,2.33,3.49,3.97,1.79,4.49,0,0,0,0,0,0,0,0,0,0,0,9.996659083,9.996659083,9.996659083,9.996659083,9.996659083,9.996659083,9.996659083,9.996659083,9.996659083,9.996659083,9.996659083,0.0403418051124069,0.0330069314556057,0.034840649869806,0.0275057762130047,0.0201709025562035,0.0146697473136025,0.0128360288994022,0.00366743682840063,0.00366743682840063,0.0440092419408076,0.00183371841420032,1,1,1,1,1,1,1,1,1,0,0
1,14,3.29,4.92,7,3.01,4.97,7.99,2.33,3.49,3.97,1.82,4.49,0,0,0,0,0,0,0,0,0,0,0,11.04392933,11.04392933,11.04392933,11.04392933,11.04392933,11.04392933,11.04392933,11.04392933,11.04392933,11.04392933,11.04392933,0.0275292498279422,0.0412938747419133,0.0447350309704061,0.0344115622849277,0.0344115622849277,0.00688231245698555,0.00344115622849277,0.00344115622849277,0.0412938747419133,0.0378527185134205,0.00344115622849277,1,1,1,1,1,1,1,1,1,0,0
1,18,3.27,4.64,6.63,2.67,4.97,7.99,2.51,3.49,3.97,1.81,4.49,0,0,0,0,0,0,0,0,0,0,0,10.39197554,10.39197554,10.39197554,10.39197554,10.39197554,10.39197554,10.39197554,10.39197554,10.39197554,10.39197554,10.39197554,0.0505326988672253,0.0884322230176443,0.0315829367920158,0.0421105823893544,0.0189497620752095,0.00631658735840317,0.0189497620752095,0.00210552911946772,0.00842211647787089,0.0400050532698867,0.00210552911946772,1,1,1,1,1,1,1,1,1,0,0
1,21,3.45,5,7.13,2.99,5.19,8.22,2.65,3.57,4.01,1.91,4.49,0,0,0,0,0,0,0,0,0,0,0,10.71619397,10.71619397,10.71619397,10.71619397,10.71619397,10.71619397,10.71619397,10.71619397,10.71619397,10.71619397,10.71619397,0.00268355517389438,0.00268355517389438,0.00268355517389438,0.00268355517389438,0.00268355517389438,0.00268355517389438,0.00268355517389438,0.00268355517389438,0.00268355517389438,0.00268355517389438,0.00268355517389438,1,1,1,1,1,1,1,1,1,0,0
1,28,3.32,4.64,6.84,2.67,4.97,7.99,2.91,3.49,3.97,1.83,4.49,0,0,0,0,0,0,0,0,0,0,0,10.79853422,10.79853422,10.79853422,10.79853422,10.79853422,10.79853422,10.79853422,10.79853422,10.79853422,10.79853422,10.79853422,0.0479846449136276,0.0516757714454451,0.0442935183818101,0.0516757714454451,0.0369112653181751,0.0221467591909051,0.01476450612727,0.0110733795954525,0.0184556326590876,0.0258378857227226,0.00369112653181751,1,1,1,1,1,1,1,1,1,0,0
1,32,3.29,4.82,7.21,3.01,4.97,7.99,2.33,3.49,3.97,1.78,4.49,0,0,0,0,0,0,0,0,0,0,0,10.67447502,10.67447502,10.67447502,10.67447502,10.67447502,10.67447502,10.67447502,10.67447502,10.67447502,10.67447502,10.67447502,0.0254545454545455,0.0436363636363636,0.0181818181818182,0.0327272727272727,0.0163636363636364,0.00363636363636364,0.00909090909090909,0.00727272727272727,0.00909090909090909,0.0272727272727273,0.00181818181818182,1,1,1,1,1,1,1,1,1,0,0
1,33,3.32,4.83,7.08,3.01,4.97,7.99,2.33,3.49,3.97,1.8,4.49,0,0,0,0,0,0,0,0,0,0,0,10.34592726,10.34592726,10.34592726,10.34592726,10.34592726,10.34592726,10.34592726,10.34592726,10.34592726,10.34592726,10.34592726,0.0182681768359518,0.0296857873584216,0.0159846547314578,0.0388198757763975,0.0159846547314578,0.00456704420898794,0.0114176105224699,0.00456704420898794,0.0182681768359518,0.0159846547314578,0.00228352210449397,1,1,1,1,1,1,1,1,1,0,0
1,40,3.36,4.71,7.11,2.67,4.97,7.99,2.19,3.57,3.97,1.74,4.49,0,0,0,0,0,0,0,0,0,0,0,10.55025042,10.55025042,10.55025042,10.55025042,10.55025042,10.55025042,10.55025042,10.55025042,10.55025042,10.55025042,10.55025042,0.0345505767288577,0.0611279434433636,0.0292351033859565,0.0372083134003083,0.0239196300430553,0.00531547334290119,0.013288683357253,0.00265773667145059,0.00531547334290119,0.0372083134003083,0.00265773667145059,1,1,1,1,1,1,1,1,1,0,0
1,44,3.32,4.81,7.2,2.67,4.97,7.99,2.48,3.49,3.97,1.82,4.49,0,0,0,0,0,0,0,0,0,0,0,10.86915875,10.86915875,10.86915875,10.86915875,10.86915875,10.86915875,10.86915875,10.86915875,10.86915875,10.86915875,10.86915875,0.0249532127261385,0.0436681222707424,0.0374298190892077,0.0311915159076731,0.0155957579538366,0.0155957579538366,0.0155957579538366,0.0124766063630692,0.0155957579538366,0.0374298190892077,0.00311915159076731,1,1,1,1,1,1,1,1,1,0,0
1,45,3.24,4.74,5.87,2.67,4.97,7.99,2.65,3.49,3.97,1.81,4.49,0,0,0,0,0,0,0,0,0,0,0,10.74537796,10.74537796,10.74537796,10.74537796,10.74537796,10.74537796,10.74537796,10.74537796,10.74537796,10.74537796,10.74537796,0.0372828275296398,0.0559242412944598,0.011184848258892,0.0633808068003877,0.00745656550592797,0.0223696965177839,0.00372828275296398,0.00745656550592797,0.0298262620237119,0.0932070688240996,0.00372828275296398,1,1,1,1,1,1,1,1,1,0,0
1,47,3.24,4.65,6.85,2.67,4.97,7.99,2.19,3.49,3.97,1.79,4.49,0,0,0,0,0,0,0,0,0,0,0,10.63532646,10.63532646,10.63532646,10.63532646,10.63532646,10.63532646,10.63532646,10.63532646,10.63532646,10.63532646,10.63532646,0.0392649599497409,0.0628239359195854,0.0274854719648186,0.0353384639547668,0.0157059839798963,0.00392649599497409,0.0157059839798963,0.00785299198994817,0.0117794879849223,0.0314119679597927,0.00392649599497409,1,1,1,1,1,1,1,1,1,0,0
1,48,3.28,4.65,7.25,2.67,4.97,7.99,2.67,3.49,3.97,1.82,4.49,0,0,0,0,0,0,0,0,0,0,0,10.75602879,10.75602879,10.75602879,10.75602879,10.75602879,10.75602879,10.75602879,10.75602879,10.75602879,10.75602879,10.75602879,0.040358382436032,0.0726450883848575,0.0242150294616192,0.0282508677052224,0.020179191218016,0.0040358382436032,0.0121075147308096,0.0121075147308096,0.00807167648720639,0.0242150294616192,0.0040358382436032,1,1,1,1,1,1,1,1,1,0,0
1,49,3.17,4.95,6.37,2.67,4.97,7.99,2.19,3.49,3.97,1.78,4.49,0,0,0,0,0,0,0,0,0,0,0,10.80675383,10.80675383,10.80675383,10.80675383,10.80675383,10.80675383,10.80675383,10.80675383,10.80675383,10.80675383,10.80675383,0.022155264090748,0.0398794753633463,0.0177242112725984,0.022155264090748,0.022155264090748,0.00443105281814959,0.00886210563629918,0.00886210563629918,0.0177242112725984,0.0310173697270471,0.00443105281814959,1,1,1,1,1,1,1,1,1,0,0
1,50,3.29,4.87,6.77,2.67,4.97,7.99,2.19,3.49,3.97,1.84,4.49,0,0,0,0,0,0,0,0,0,0,0,10.58930796,10.58930796,10.58930796,10.58930796,10.58930796,10.58930796,10.58930796,10.58930796,10.58930796,10.58930796,10.58930796,0.0521603060071286,0.0565069981743893,0.0260801530035643,0.0391202295053464,0.00869338433452143,0.00434669216726071,0.00869338433452143,0.0173867686690429,0.0130400765017821,0.0347735373380857,0.00434669216726071,1,1,1,1,1,1,1,1,1,0,0
1,51,3.26,4.89,6.57,2.67,4.97,7.99,3.15,3.49,3.97,1.87,4.49,0,0,0,0,0,0,0,0,0,0,0,10.62083942,10.62083942,10.62083942,10.62083942,10.62083942,10.62083942,10.62083942,10.62083942,10.62083942,10.62083942,10.62083942,0.0249376558603491,0.0529925187032419,0.0280548628428928,0.0467581047381546,0.0280548628428928,0.0124688279301746,0.00935162094763092,0.00935162094763092,0.0155860349127182,0.0374064837905237,0.00311720698254364,1,1,1,1,1,1,1,1,1,0,0
1,52,3.35,4.83,7.82,3.01,4.97,7.99,2.33,3.57,3.97,1.87,4.49,0,0,0,0,0,0,0,0,0,0,0,11.05101698,11.05101698,11.05101698,11.05101698,11.05101698,11.05101698,11.05101698,11.05101698,11.05101698,11.05101698,11.05101698,0.0238763206589865,0.0596908016474661,0.0417835611532263,0.0328299409061064,0.0179072404942398,0.00895362024711992,0.0119381603294932,0.00298454008237331,0.0179072404942398,0.0268608607413598,0.00298454008237331,1,1,1,1,1,1,1,1,1,0,0
1,53,3.28,4.88,7.17,3.01,4.97,7.99,2.66,3.49,3.97,1.84,4.49,0,0,0,0,0,0,0,0,0,0,0,10.60000405,10.60000405,10.60000405,10.60000405,10.60000405,10.60000405,10.60000405,10.60000405,10.60000405,10.60000405,10.60000405,0.0257315100720482,0.0441111601235112,0.0257315100720482,0.0147037200411704,0.0294074400823408,0.00735186002058521,0.0147037200411704,0.0036759300102926,0.0220555800617556,0.0294074400823408,0.0036759300102926,1,1,1,1,1,1,1,1,1,0,0
1,54,3.33,4.83,6.94,2.67,4.97,7.99,3.63,3.49,3.97,1.79,4.49,0,0,0,0,0,0,0,0,0,0,0,10.91089788,10.91089788,10.91089788,10.91089788,10.91089788,10.91089788,10.91089788,10.91089788,10.91089788,10.91089788,10.91089788,0.051243509155507,0.0717409128177098,0.0136649357748019,0.0785733807051107,0.0239136376059032,0.00683246788740093,0.00341623394370046,0.00683246788740093,0.0170811697185023,0.0273298715496037,0.00341623394370046,1,1,1,1,1,1,1,1,1,0,0
1,56,3.23,4.55,7.01,2.67,4.97,7.99,2.6,3.49,3.97,1.82,4.49,0,0,0,0,0,0,0,0,0,0,0,10.83182543,10.83182543,10.83182543,10.83182543,10.83182543,10.83182543,10.83182543,10.83182543,10.83182543,10.83182543,10.83182543,0.0394746285796311,0.0538290389722242,0.0179430129907414,0.0538290389722242,0.0215316155888897,0.00717720519629656,0.025120218187038,0.00358860259814828,0.0107658077944448,0.0287088207851862,0.00358860259814828,1,1,1,1,1,1,1,1,1,0,0
1,59,3.29,4.84,7.01,2.67,4.97,7.99,3.63,3.57,3.97,1.8,4.49,0,0,0,0,0,0,0,0,0,0,0,10.7150398,10.7150398,10.7150398,10.7150398,10.7150398,10.7150398,10.7150398,10.7150398,10.7150398,10.7150398,10.7150398,0.0250417362270451,0.0667779632721202,0.0208681135225376,0.0459098497495826,0.0125208681135225,0.00834724540901502,0.00417362270450751,0.00417362270450751,0.0208681135225376,0.0959933222036728,0.00417362270450751,1,1,1,1,1,1,1,1,1,0,0
1,62,3.31,4.72,7.52,3.01,4.97,7.99,2.59,3.49,3.97,1.79,4.49,0,0,0,0,0,0,0,0,0,0,0,11.23619652,11.23619652,11.23619652,11.23619652,11.23619652,11.23619652,11.23619652,11.23619652,11.23619652,11.23619652,11.23619652,0.0325168003468459,0.0505816894284269,0.0325168003468459,0.0325168003468459,0.018064889081581,0.0289038225305297,0.018064889081581,0.0108389334489486,0.0252908447142135,0.0289038225305297,0.00361297781631621,1,1,1,1,1,1,1,1,1,0,0
1,64,3.35,4.84,7.11,2.67,4.97,7.99,2.91,3.49,3.97,1.78,4.49,0,0,0,0,0,0,0,0,0,0,0,10.60581744,10.60581744,10.60581744,10.60581744,10.60581744,10.60581744,10.60581744,10.60581744,10.60581744,10.60581744,10.60581744,0.0440211301424684,0.0520249719865535,0.0240115255322555,0.0360172882983832,0.0120057627661277,0.00800384184408516,0.00800384184408516,0.0160076836881703,0.0320153673763406,0.0560268929085961,0.00400192092204258,1,1,1,1,1,1,1,1,1,0,0
1,67,3.37,4.76,6.58,2.67,4.97,7.99,2.19,3.49,3.97,1.82,4.49,0,0,0,0,0,0,0,0,0,0,0,10.79695991,10.79695991,10.79695991,10.79695991,10.79695991,10.79695991,10.79695991,10.79695991,10.79695991,10.79695991,10.79695991,0.0238761170611911,0.0511631079882666,0.0272869909270755,0.03069786479296,0.0238761170611911,0.0102326215976533,0.0102326215976533,0.00341087386588444,0.0102326215976533,0.0272869909270755,0.00341087386588444,1,1,1,1,1,1,1,1,1,0,0
