i,t,K,L,M,R,L_lag,K_lag,M_lag
1,1,0.04306356762105865,0.05899118852199816,0.011749094609289079,0.02364475817465403,NA,NA,NA
2,1,274.58395907610566,376.1424096932954,2373.749605533097,5835.200877240132,NA,NA,NA
3,1,2.572873119484499e-11,3.5244837253212315e-11,1.6297119384914277e-10,4.381297723249233e-10,NA,NA,NA
4,1,1.4440400470120358,1.978137050701419,1.129447777970166,3.89405937812877,NA,NA,NA
5,1,1989.3839592495408,2725.1835058212887,15073.282554038364,32893.26925840963,NA,NA,NA
6,1,10550.42335589532,14452.634734103178,999.8181912880066,3233.135171372228,NA,NA,NA
7,1,10.842632308597135,14.852920970681009,2.9139722694949772,8.134609334910246,NA,NA,NA
8,1,5.18393886090552e-4,7.101286110829479e-4,8.927630436140477e-4,0.002373741314042338,NA,NA,NA
9,1,7.11316099277896e-6,9.744056154491727e-6,5.059659237747852e-4,9.944994645897354e-4,NA,NA,NA
10,1,3.2083342987079816e-4,4.394978491380797e-4,5.171149893627807e-4,0.0018418359167471764,NA,NA,NA
11,1,0.0024289265765143502,0.0033272966801566445,0.001037558394972256,0.0020570825043584296,NA,NA,NA
12,1,5.430467083868799,7.4389960052997255,11.419689702452061,29.53274019308677,NA,NA,NA
13,1,8.055728558938839e-4,0.0011035244601286082,2.16104754845966e-4,4.465171421876895e-4,NA,NA,NA
14,1,6.319482860035995e-4,8.656825835665747e-4,8.581496679965962e-4,0.0018225075356362722,NA,NA,NA
15,1,2.6755268311427e-8,3.6651052481406846e-8,5.344824552337771e-9,1.560168371499497e-8,NA,NA,NA
16,1,0.09345534774216954,0.12802102430434184,0.035068173038658015,0.08692785392469386,NA,NA,NA
17,1,20.69139456493465,28.344376116348837,18.840216241462826,41.42396939488276,NA,NA,NA
18,1,4.808052700394986e-7,6.586373562184912e-7,8.894749382656962e-7,1.979172540657031e-6,NA,NA,NA
19,1,0.088213627950823,0.12084058623400412,0.023240467888374538,0.06058725090201926,NA,NA,NA
20,1,0.06222213297753324,0.0852357985993606,0.033750070314024355,0.07383528218294307,NA,NA,NA
21,1,0.026108470861972717,0.03576502857804482,0.03125113225278952,0.06414101056136452,NA,NA,NA
22,1,4.942157354345802e-4,6.770078567596989e-4,2.411817740130928e-4,5.231908255716376e-4,NA,NA,NA
23,1,711.569701842518,974.7530162226275,234.736789233526,540.4951546957852,NA,NA,NA
24,1,5.110786841117113e-4,7.00107786454399e-4,3.930409806150865e-4,9.183428283781473e-4,NA,NA,NA
25,1,1.973142336429941e-8,2.7029347074382752e-8,3.571056857214927e-8,7.46460007014341e-8,NA,NA,NA
26,1,1.4620335651519218,2.002785705687564,0.5661053470664037,1.5002376359024556,NA,NA,NA
27,1,0.0093700108720566,0.012835631331584385,0.0034770156198438967,0.007897587088088399,NA,NA,NA
28,1,0.00596063432890951,0.008165252505355493,0.026774486287387222,0.0602969908779228,NA,NA,NA
29,1,2.3890035190600945e-5,3.272607560356294e-5,9.419498558345331e-5,2.4164741171431984e-4,NA,NA,NA
30,1,0.4082812667784171,0.5592894065457769,0.7677323116125727,1.5749025637764809,NA,NA,NA
31,1,0.0013665767795489926,0.0018720229856835516,3.0770186438170186e-4,5.722678238321983e-4,NA,NA,NA
32,1,5.518864146012671e-5,7.560087871250235e-5,1.4040547670387163e-4,3.398645705660445e-4,NA,NA,NA
33,1,2.0297615101462602e-4,2.7804952193784385e-4,8.021884423745218e-4,0.0021116908376610445,NA,NA,NA
34,1,402.47974841817165,551.3421211207831,914.2910444294076,3446.9831262677917,NA,NA,NA
35,1,3.762488272590378e-7,5.154093524096408e-7,1.0488442472294748e-7,1.87712553714569e-7,NA,NA,NA
36,1,1.0333563164066453e-5,1.4155565978173224e-5,0.0010408161465468566,0.0021806009840935428,NA,NA,NA
37,1,6.7021022363538405,9.180961967608,0.9069854838760404,2.7917837148148372,NA,NA,NA
38,1,0.003036043501663167,0.004158963700908448,0.008541840014603069,0.023080858458832308,NA,NA,NA
39,1,0.007851456313777545,0.010755419607914445,0.027836300720768804,0.0664597833693863,NA,NA,NA
40,1,1.4016151319006056,1.9200207286309665,0.0936422157492135,0.2544566073268804,NA,NA,NA
41,1,445.3325385340266,610.044573334283,1264.5814188223455,2841.1308018822815,NA,NA,NA
42,1,1286.9410378345572,1762.9329285404895,390.8525306283134,961.2694942543843,NA,NA,NA
43,1,4.215363047863189e-6,5.774469928579712e-6,2.035242586845549e-5,6.044919422101188e-5,NA,NA,NA
44,1,9.723688839414898e-5,1.3320121697828628e-4,4.687627646120502e-4,0.0011676236873834358,NA,NA,NA
45,1,7.58694951866213e-5,1.0393081532413877e-4,1.2695803878458037e-5,3.160835355416782e-5,NA,NA,NA
46,1,25.139005998843043,34.436994518963076,2211.6657281896387,4707.927027016399,NA,NA,NA
